73,0ttvz9n7vBPaMWpRplAZbs,The Original Studio Recordings (Volume One),compilation,2jgPkn6LuUazBoBk6vvjh5,The Zombies,43.0,2007-04-30,spotify:album:0ttvz9n7vBPaMWpRplAZbs
74,2Eabt9Pi7zWreJJxcNkIw6,The Ultimate Peter And Gordon,album,6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,46.0,2001,spotify:album:2Eabt9Pi7zWreJJxcNkIw6
75,2Ta8HF3UYsHmHQ7BfUKc5m,The Complete Hits Of Vic Dana,album,26LmRGHptm85F27BZwOSt7,Vic Dana,26.0,2000,spotify:album:2Ta8HF3UYsHmHQ7BfUKc5m
76,5n3yhXw0DNTRIpSfRE98tT,Lost Hits Of The 60's (All Original Artists & Versions),album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,44.0,2010-08-13,spotify:album:5n3yhXw0DNTRIpSfRE98tT
77,3k6u76lSaKt4FrxSphXPRj,Going To A Go-Go,album,6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson & The Miracles,54.0,1965-01-01,spotify:album:3k6u76lSaKt4FrxSphXPRj
78,0u0RtnUnKXRsc0wiD6q6Ck,Anthology 1956-1980 (Volume 1 & 2),album,4cPHsZM98sKzmV26wlwD2W,Brenda Lee,54.0,1991-01-01,spotify:album:0u0RtnUnKXRsc0wiD6q6Ck
79,0eJIif0B4cSKvclbgpgg41,The Karaoke Channel - Sing I Like It Like That Like the Dave Clark Five,single,5UloVKzUNJcjORzhhTWWiJ,The Karaoke Channel,0.0,2015-08-17,spotify:album:0eJIif0B4cSKvclbgpgg41
80,0X7zSX47ZpZa5xlDS86a4x,"The Very Best Of Bobby Goldsboro, Volume 2",album,5gPEo032lzARtzuVqJIm9o,Bobby Goldsboro,30.0,1989,spotify:album:0X7zSX47ZpZa5xlDS86a4x
81,2Eabt9Pi7zWreJJxcNkIw6,The Ultimate Peter And Gordon,album,6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,46.0,2001,spotify:album:2Eabt9Pi7zWreJJxcNkIw6
82,7pSmOdR07xSmTJBcwKKF0v,The Ultimate Collection: Four Tops,album,7fIvjotigTGWqjIz6EP1i4,Four Tops,58.0,1997-01-01,spotify:album:7pSmOdR07xSmTJBcwKKF0v
83,7GyCInPcS17DR5hJcoPcVT,British Invasion Gold,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,44.0,2006-01-01,spotify:album:7GyCInPcS17DR5hJcoPcVT
84,25CUJO08rkvZV9rIIP4L4B,Greatest Hits,compilation,5TbXjzD8tYgMD5JU2g2F8q,Joe Tex,37.0,2000-11-06,spotify:album:25CUJO08rkvZV9rIIP4L4B
85,3GoBNqjGtsJ8jnwp1PfKby,Animal Tracks,album,3ICflSq6ZgYAIrm2CTkfVP,The Animals,54.0,1965-09-01,spotify:album:3GoBNqjGtsJ8jnwp1PfKby
86,3qWJ6R8Wg3PPCAOToluwPJ,Introducing The Beau Brummels,album,4DQj1q0unpi9KF8jO1Wqks,The Beau Brummels,31.0,1965,spotify:album:3qWJ6R8Wg3PPCAOToluwPJ
87,2Q5MwpTmtjscaS34mJFXQQ,Out Of Our Heads (Remastered),album,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,62.0,1965-07-30,spotify:album:2Q5MwpTmtjscaS34mJFXQQ
88,5bx2ZHa0KUDMD5T0r9V030,Do you Believe In Magic,album,7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,55.0,1965-11,spotify:album:5bx2ZHa0KUDMD5T0r9V030
89,3hvs3eByEMXdombyMxt4t8,All I Really Want To Do,album,72OaDtakiy6yFqkt4TsiFt,Cher,25.0,1965-10-16,spotify:album:3hvs3eByEMXdombyMxt4t8
90,0WqXHjmlZ7VnWdx6VWBhxu,The Best of Little Anthony & The Imperials,album,3PF1KBeHYb14yKgsiE693V,Little Anthony & The Imperials,45.0,1996-05-28,spotify:album:0WqXHjmlZ7VnWdx6VWBhxu
91,1NnmPhfPVSpqCqP6iJ30Vc,I Want Candy: The Best Of The Strangeloves,album,4NMkJqM1SsQP3gk81cqk6K,The Strangeloves,35.0,1965,spotify:album:1NnmPhfPVSpqCqP6iJ30Vc
