"""summer in the city""",1966.0,0.0592,0.423,160307.0,0.681,"""7AzFID6u1b3zIWbd9pb8Dk""",0.000177,10.0,0.0889,-9.756,1.0,0.0397,110.461,4.0,0.559
"""born free""",1966.0,0.583,0.612,142613.0,0.627,"""1C0932MrLNcbw6nmu8wyfl""",1.03e-05,0.0,0.1,-8.64,1.0,0.0347,118.132,4.0,0.483
"""these boots are made for walkin""",1966.0,0.483,0.74,166008.0,0.392,"""2nwCO1PqpvyoFIvq3Vrj8N""",1.11e-06,9.0,0.0965,-11.996,1.0,0.0824,82.742,4.0,0.399
"""what becomes of the brokenhearted""",1966.0,0.683,0.654,181760.0,0.546,"""2d8sMU2oaJ7pjnoeGQrQDL""",0.0,2.0,0.243,-9.017,0.0,0.0242,97.514,4.0,0.718
"""strangers in the night""",1966.0,0.638,0.229,157867.0,0.494,"""74VR3AkGPhbYXnxcOYa16x""",0.0,5.0,0.217,-8.22,1.0,0.0311,80.092,4.0,0.537
"""we can work it out""",1966.0,0.0635,0.378,135693.0,0.677,"""1hTUFqJuQAMjXVGwUPWDqi""",0.0,2.0,0.183,-8.63,1.0,0.0298,106.071,4.0,0.664
"""good lovin""",1966.0,0.00206,0.252,150907.0,0.507,"""0XnhQGfqfi5CnZXcONJuI5""",0.00057,2.0,0.325,-13.337,1.0,0.0442,196.494,4.0,0.807
"""winchester cathedral""",1966.0,0.614,0.847,136838.0,0.371,"""3Q51jQuzjEDMTyFX4pT2dK""",3.55e-06,7.0,0.0502,-13.909,1.0,0.0659,122.638,4.0,0.911
"""hanky panky""",1966.0,0.411,0.646,171688.0,0.911,"""3uqEiaO6MUoM89nLSIs05c""",0.000484,7.0,0.115,-6.228,0.0,0.101,126.122,4.0,0.889
"""when a man loves a woman""",1966.0,0.13,0.516,173867.0,0.15,"""51FpzuGkRYXFgsE2zXt9av""",0.0755,1.0,0.122,-20.41,1.0,0.0272,97.398,3.0,0.203
"""paint it black""",1966.0,0.0161,0.501,224133.0,0.857,"""7lY8aoN3wUR3NY4nUwigPv""",0.0376,5.0,0.369,-7.806,0.0,0.113,159.662,4.0,0.776
"""my love""",1966.0,0.681,0.513,164133.0,0.861,"""2j1GzI1DwpEado5Rjw0wxk""",3.94e-05,9.0,0.29,-6.446,1.0,0.0402,173.72,4.0,0.943
"""lightnin strikes""",1966.0,0.577,0.608,179000.0,0.659,"""25fT8QmhiA6f89diSeVbXa""",2.08e-06,3.0,0.148,-7.116,1.0,0.0517,134.066,4.0,0.758
"""wild thing""",1966.0,0.741,0.458,158640.0,0.853,"""0D9J4MkQVyn1690CBqLx4u""",0.0215,9.0,0.0851,-8.575,1.0,0.139,202.509,4.0,0.677
"""kicks""",1966.0,0.131,0.552,166307.0,0.733,"""0QBs9whmv4jdyU3sujWDlW""",0.00013,8.0,0.123,-9.342,1.0,0.0315,129.075,4.0,0.586
"""sunshine superman""",1966.0,0.122,0.629,195000.0,0.677,"""4RGxUjaCmVtD30pIhtEi7w""",9.72e-06,1.0,0.0962,-7.239,1.0,0.0299,132.783,4.0,0.654
"""sunny""",1966.0,0.93,0.711,165067.0,0.347,"""4vju55Ag7apDL2CfotuE7Q""",0.0134,4.0,0.403,-10.955,0.0,0.0394,128.474,4.0,0.685
"""paperback writer""",1966.0,0.147,0.472,138200.0,0.856,"""0Ui8KPWZbJJQ2Y0CIQuVqX""",2.78e-06,7.0,0.595,-6.03,1.0,0.0562,78.696,4.0,0.824
"""see you in september""",1966.0,0.864,0.519,147227.0,0.422,"""2caREKLVN9PbVDe9EPzXjc""",0.0,4.0,0.332,-8.732,1.0,0.0282,128.956,4.0,0.79
"""you keep me hangin on""",1966.0,0.333,0.681,163280.0,0.627,"""4a01ClusxuZiloOK5UgLUn""",0.0,8.0,0.0698,-6.866,0.0,0.0415,127.664,4.0,0.807
