artist_id,genres
0MponVSpW81oLvJZ53vYZH,"[brill building pop, chicago soul, disco, jazz blues, memphis soul, motown, northern soul, quiet storm, rock-and-roll, soul, soul blues, southern soul]"
7mEIug7XUlQHikrFxjTWes,"[adult standards, album rock, brill building pop, christmas, classic rock, folk, folk christmas, folk rock, mellow gold, rock, singer-songwriter, soft rock]"
0En4EEcDMJ5kaUCf1aZ9js,"[blues, brill building pop, chicago blues, chicago soul, classic funk rock, deep funk, delta blues, funk, jazz blues, jump blues, louisiana blues, memphis blues, memphis soul, motown, new orleans blues, northern soul, rock-and-roll, soul, soul blues, southern soul, traditional blues]"
2JSjCHK79gdaiPWdKiNUNp,"[adult standards, brill building pop, bubblegum pop, christmas, disco, mellow gold, motown, new wave pop, quiet storm, soft rock, soul, soul christmas, vocal jazz]"
1zJBFCev9UwOMcrZsLi2od,"[adult standards, chicago soul, christmas, classic funk rock, disco, jazz blues, jazz christmas, lounge, memphis soul, motown, quiet storm, soul, soul blues, soul christmas, southern soul, vocal jazz]"
3oDbviiivRWhXwIE8hxkVV,"[brill building pop, classic rock, folk rock, mellow gold, pop christmas, psychedelic rock, rock, singer-songwriter, soft rock]"
0NRN3tnDVDspHMCfyu2ZwT,"[british blues, bubblegum pop, classic garage rock, freakbeat, garage rock, protopunk, psychedelic rock, surf music]"
57bUPid8xztkieZfS7OlEV,"[adult standards, brill building pop, chicago soul, christmas, classic funk rock, classic rock, disco, mellow gold, memphis soul, motown, quiet storm, rock-and-roll, soul, soul blues, soul christmas, southern soul]"
74ASZWbe4lXaubB36ztrGX,"[album rock, classic rock, folk, folk christmas, folk rock, folk-pop, mellow gold, rock, roots rock, singer-songwriter]"
3iBuBivHItWMpdiVmLT0uB,"[bubblegum pop, folk rock]"
